,date,claim,truth_rating,url,source,fact,explanation,keyword
0,2022-10-10T00:00:00Z,“Tim Ryan when he ran for president two years ago … supported banning fracking both on public lands and generally speaking.”,Half True,https://www.politifact.com/factchecks/2022/oct/11/jd-vance/fact-checking-jd-vance-tim-ryans-record-fracking/,PolitiFact,,,president
1,2022-09-13T00:00:00Z,“Everyone but Trump invited to royal funeral.”,False,https://www.politifact.com/factchecks/2022/sep/14/viral-image/no-trump-wasnt-only-former-president-not-invited-q/,PolitiFact,,,president
2,2022-09-07T00:00:00Z,“Naomi Biden says Joe Biden died four years ago.”,Pants on Fire,https://www.politifact.com/factchecks/2022/sep/08/viral-image/no-isnt-video-joe-bidens-granddaughter-saying-he-d/,PolitiFact,,,president
3,2022-08-29T00:00:00Z,Joe Biden threatened to assassinate Ukraine’s former president.,Pants on Fire,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/biden-didnt-threaten-kill-former-ukrainian-preside/,PolitiFact,,,president
4,2022-08-18T00:00:00Z,The Supreme Court will put Donald Trump back in office in October,Pants on Fire,https://www.politifact.com/factchecks/2022/aug/29/facebook-posts/us-supreme-court-not-going-put-trump-back-office/,PolitiFact,,,president
5,2022-07-28T00:00:00Z,"Then-Vice President Mike Pence ""seized power"" from President Donald Trump and undertook ""a coup"" when he called on federal agencies to stop the Jan. 6 Capitol riot.",Pants on Fire,https://www.politifact.com/factchecks/2022/sep/19/mark-finchem/arizona-republican-said-pence-seized-power-trump-u/,PolitiFact,,,president
6,2022-09-14T00:00:00Z,“Incomes are up.”,Mostly False,https://www.politifact.com/factchecks/2022/sep/16/joe-biden/joe-biden-said-incomes-are-ignores-inflation/,PolitiFact,,,president
7,2022-08-15T00:00:00Z,Leaked messages “between former President Barack Obama and Judge Reinhart foreshadowed the unlawful raid on former Trump’s Mar-a-Lago estate.”,False,https://www.politifact.com/factchecks/2022/aug/17/viral-image/no-leaked-messaged-mar-lago-search/,PolitiFact,,,president
8,2022-08-16T00:00:00Z,The American Rescue Plan “helped create nearly 10 million new jobs.”,Mostly False,https://www.politifact.com/factchecks/2022/aug/24/joe-biden/joe-biden-exaggerates-job-creation-impact-american/,PolitiFact,,,president
9,2022-07-21T00:00:00Z,“Jill Biden makes stunning admission after” President Joe Biden tested positive for COVID-19.,False,https://www.politifact.com/factchecks/2022/jul/22/facebook-posts/jill-biden-did-not-make-stunning-admission-said-pr/,PolitiFact,,,president
10,2022-07-18T00:00:00Z,“Biden threatens to assassinate Ukraine president.”,Pants on Fire,https://www.politifact.com/factchecks/2022/jul/21/facebook-posts/no-biden-didnt-threaten-kill-zelenskyy/,PolitiFact,,,president
11,2022-08-12T00:00:00Z,"""President Barack Hussein Obama kept 33 million pages of documents, much of them classified. How many of them pertained to nuclear? Word is, lots!""",Pants on Fire,https://www.politifact.com/factchecks/2022/aug/12/donald-trump/why-trump-wrong-suggest-obama-personally-kept-33-m/,PolitiFact,,,president
12,2022-07-11T00:00:00Z,"Sri Lanka’s president, Estonia’s prime minister and Ukrainian diplomats were arrested.",False,https://www.politifact.com/factchecks/2022/jul/12/facebook-posts/no-these-political-leader-and-diplomats-havent-bee/,PolitiFact,,,president
13,2022-06-30T00:00:00Z,"President Donald Trump was in a presidential limousine as he left his Jan. 6, 2021, rally at the White House Ellipse.",False,https://www.politifact.com/factchecks/2022/jul/08/facebook-posts/trump-was-suv-after-jan-6-rally-not-presidential-l/,PolitiFact,,,president
14,2022-07-06T00:00:00Z,“Biden impeachment in progress.”,Pants on Fire,https://www.politifact.com/factchecks/2022/jul/08/facebook-posts/no-biden-isnt-process-being-impeached/,PolitiFact,,,president
15,2022-06-27T00:00:00Z,“Joe Biden just resigned from the White House.”,Pants on Fire,https://www.politifact.com/factchecks/2022/jun/28/facebook-posts/biden-president-he-didnt-resign/,PolitiFact,,,president
16,2022-05-23T00:00:00Z,Says Barack Obama announced Joe Biden’s death.,Pants on Fire,https://www.politifact.com/factchecks/2022/jun/09/facebook-posts/no-obama-didnt-announce-bidens-death/,PolitiFact,,,president
17,2022-06-07T00:00:00Z,Joe Biden resigned and “Trump is the new president.”,Pants on Fire,https://www.politifact.com/factchecks/2022/jun/09/facebook-posts/no-biden-didnt-resign-and-trump-didnt-replace-him/,PolitiFact,,,president
18,2022-06-09T00:00:00Z,"“Donald Trump authorized up to 20,000 National Guard troops to protect the Capitol"" before Jan. 6, 2021, but was ""rejected"" by Nancy Pelosi and Chuck Schumer.",False,https://www.politifact.com/factchecks/2022/jun/13/sean-hannity/no-evidence-pelosi-rejected-trumps-authorization-2/,PolitiFact,,,president
19,2022-04-23T00:00:00Z,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,Pants on Fire,https://www.politifact.com/factchecks/2022/apr/26/facebook-posts/viral-videos-falsely-claiming-ukraines-zelenskyy-u/,PolitiFact,,,president
20,2022-04-17T00:00:00Z,“The White House presented commemorative coins” dedicated to Ukraine President Volodymyr Zelenskyy.,False,https://www.politifact.com/factchecks/2022/apr/25/facebook-posts/commemorative-zelenskyy-coins-created-private-gift/,PolitiFact,,,president
21,2022-04-12T00:00:00Z,“Inflation has gone up every month of the Biden presidency and just hit another 40-year high.”,Mostly True,https://www.politifact.com/factchecks/2022/apr/22/mike-gallagher/yes-inflation-40-year-high-and-rates-have-been-cli/,PolitiFact,,,president
22,2022-05-12T00:00:00Z,“When President Biden took office … there was no vaccine available.”,False,https://www.politifact.com/factchecks/2022/may/16/joe-biden/white-house-errs-vaccine-availability-then-correct/,PolitiFact,,,president
23,2022-04-14T00:00:00Z,"""For four years, I was a full professor at the University of Pennsylvania.""",Half True,https://www.politifact.com/factchecks/2022/apr/22/joe-biden/fact-checking-joe-biden-being-full-professor-four-/,PolitiFact,,,president
24,2022-03-19T00:00:00Z,A video shows Ukraine President Volodymyr Zelenskyy singing “Imagine” by John Lennon.,False,https://www.politifact.com/factchecks/2022/mar/28/youtube-videos/does-video-show-zelenskyy-singing-imagine-john-len/,PolitiFact,,,president
25,2022-03-16T00:00:00Z,Ukrainian President Volodymyr Zelensky wore a Nazi cross symbol.,False,https://www.politifact.com/factchecks/2022/mar/25/facebook-posts/zelenskys-shirt-bears-emblem-ukraine-armed-forces-/,PolitiFact,,,president
26,2022-02-19T00:00:00Z,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",False,https://www.politifact.com/factchecks/2022/feb/22/marjorie-taylor-greene/marjorie-taylor-greene-falsely-claims-ukraine-was-/,PolitiFact,,,president
27,2022-02-15T00:00:00Z,"""The latest with the Durham report is that the Clinton campaign … actually spied on the president of the United States.”",False,https://www.politifact.com/factchecks/2022/feb/21/rick-scott/durham-filing-scott-exaggerates-proof-clinton-camp/,PolitiFact,,,president
